Dirty Deeds Done Dirt Cheap,3:52,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,100
Love at First Feel,3:13,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,60
Big Balls,2:39,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,80
Rocker,2:52,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,20
Problem Child,5:47,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,60
There's Gonna Be Some Rockin',3:18,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,60
Ain't No Fun (Waiting Round To Be A Millionaire),6:58,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,20
Ride On,5:54,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,60
Squealer,5:27,AC/DC,Dirty Deeds Done Dirt Cheap,Rock,40
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),5:02,AC/DC,High Voltage,Rock,80
Rock N Roll Singer,5:04,AC/DC,High Voltage,Rock,40
The Jack,5:53,AC/DC,High Voltage,Rock,20
Live Wire,5:50,AC/DC,High Voltage,Rock,80
T.N.T.,3:35,AC/DC,High Voltage,Rock,100
Can I Sit Next to You Girl,4:12,AC/DC,High Voltage,Rock,60
Little Lover,5:40,AC/DC,High Voltage,Rock,40
She's Got Balls,4:52,AC/DC,High Voltage,Rock,20
High Voltage,4:14,AC/DC,High Voltage,Rock,80
Go Down,5:31,AC/DC,Let There Be Rock,Rock,40
Dog Eat Dog,3:35,AC/DC,Let There Be Rock,Rock,60
Let There Be Rock,6:06,AC/DC,Let There Be Rock,Rock,100
Bad Boy Boogie,4:28,AC/DC,Let There Be Rock,Rock,20
Problem Child,5:25,AC/DC,Let There Be Rock,Rock,80
Overdose,6:09,AC/DC,Let There Be Rock,Rock,60
Hell Ain't a Bad Place to Be,4:14,AC/DC,Let There Be Rock,Rock,80
Whole Lotta Rosie,5:34,AC/DC,Let There Be Rock,Rock,100
Highway to Hell,3:28,AC/DC,Highway to Hell,Rock,100
Girls Got Rhythm,3:23,AC/DC,Highway to Hell,Rock,60
Walk All Over You,5:10,AC/DC,Highway to Hell,Rock,40
Touch Too Much,4:26,AC/DC,Highway to Hell,Rock,80
Beating Around the Bush,3:56,AC/DC,Highway to Hell,Rock,80
Shot Down In Flames,3:23,AC/DC,Highway to Hell,Rock,80
Get It Hot,2:35,AC/DC,Highway to Hell,Rock,40
If You Want Blood (You've Got It),4:37,AC/DC,Highway to Hell,Rock,80
